name,image_url
Scavenger Regent,https://cards.scryfall.io/png/front/0/d/0d4b46a3-847a-44a7-9f68-2cb4657cad61.png?1752538974
Maelstrom of the Spirit Dragon,https://cards.scryfall.io/png/front/c/4/c4e90bfb-d9a5-48a9-9ff9-b0f50a813eee.png?1743205026
Mystic Monastery,https://cards.scryfall.io/png/front/9/f/9fd41ad5-6b36-482e-8305-bbc709668470.png?1762150266
Temur Monument,https://cards.scryfall.io/png/front/5/5/55e97b40-d898-4da5-8159-cca48eb298eb.png?1743204983
Alchemist's Assistant,https://cards.scryfall.io/png/front/4/d/4d305609-64f8-4f3f-bf67-cd5257f0d01e.png?1743204244
Lightfoot Technique,https://cards.scryfall.io/png/front/b/a/baac1a41-d44d-4184-9147-b4233e73de65.png?1743204007
Narset's Rebuke,https://cards.scryfall.io/png/front/5/0/5098bd73-d51c-4db4-bf06-fd4854089d37.png?1743204422
Iceridge Serpent,https://cards.scryfall.io/png/front/d/1/d13f117b-b8e4-48db-8ce9-5da9c7ce23a5.png?1743204156
Dusyut Earthcarver,https://cards.scryfall.io/png/front/b/9/b98ecc96-f557-479a-8685-2b5487d5b407.png?1743204529
Nightblade Brigade,https://cards.scryfall.io/png/front/6/4/648debd9-d4cf-4788-8882-f1601a3d87f5.png?1743204303
Agent of Kotis,https://cards.scryfall.io/png/front/8/1/812d0462-0158-467f-951d-a7a121188a10.png?1743204105
Sibsig Appraiser,https://cards.scryfall.io/png/front/6/7/670c5b96-bac6-449b-a2bd-cb43750d3911.png?1743204185
Blossoming Sands,https://cards.scryfall.io/png/front/0/a/0a9df994-e0f4-4919-af99-4f643eb9199c.png?1743204991
Glacial Dragonhunt,https://cards.scryfall.io/png/front/9/5/95994c88-e404-4a4f-8be6-b99d703d4609.png?1743204732
